starttime	seconds	ctime	dtime	ttime	wait
Sat Apr 26 18:07:57 2025	1745708877	0	3	4	2
Sat Apr 26 18:07:57 2025	1745708877	1	2	4	2
Sat Apr 26 18:07:57 2025	1745708877	1	3	4	3
Sat Apr 26 18:07:57 2025	1745708877	1	3	4	3
Sat Apr 26 18:07:57 2025	1745708877	1	3	4	3
Sat Apr 26 18:07:57 2025	1745708877	1	4	6	4
Sat Apr 26 18:07:57 2025	1745708877	1	5	6	5
Sat Apr 26 18:07:57 2025	1745708877	1	5	6	5
Sat Apr 26 18:07:57 2025	1745708877	1	5	7	5
Sat Apr 26 18:07:57 2025	1745708877	1	6	8	6
Sat Apr 26 18:07:57 2025	1745708877	1	7	8	7
Sat Apr 26 18:07:57 2025	1745708877	1	7	8	7
Sat Apr 26 18:07:57 2025	1745708877	1	7	9	7
Sat Apr 26 18:07:57 2025	1745708877	1	8	10	8
Sat Apr 26 18:07:57 2025	1745708877	1	9	10	9
Sat Apr 26 18:07:57 2025	1745708877	1	9	10	9
Sat Apr 26 18:07:57 2025	1745708877	1	10	11	10
Sat Apr 26 18:07:57 2025	1745708877	1	10	12	10
Sat Apr 26 18:07:57 2025	1745708877	1	10	12	10
Sat Apr 26 18:07:57 2025	1745708877	1	11	13	11
Sat Apr 26 18:07:57 2025	1745708877	1	12	13	12
Sat Apr 26 18:07:57 2025	1745708877	1	12	14	12
Sat Apr 26 18:07:57 2025	1745708877	1	12	14	12
Sat Apr 26 18:07:57 2025	1745708877	1	13	15	13
Sat Apr 26 18:07:57 2025	1745708877	1	14	16	14
Sat Apr 26 18:07:57 2025	1745708877	1	14	16	14
Sat Apr 26 18:07:57 2025	1745708877	1	15	16	14
Sat Apr 26 18:07:57 2025	1745708877	1	15	17	15
Sat Apr 26 18:07:57 2025	1745708877	1	16	17	16
Sat Apr 26 18:07:57 2025	1745708877	1	16	18	16
Sat Apr 26 18:07:57 2025	1745708877	1	17	18	17
Sat Apr 26 18:07:57 2025	1745708877	1	17	19	17
Sat Apr 26 18:07:57 2025	1745708877	1	18	20	18
Sat Apr 26 18:07:57 2025	1745708877	1	18	20	18
Sat Apr 26 18:07:57 2025	1745708877	1	19	21	19
Sat Apr 26 18:07:57 2025	1745708877	1	19	21	19
Sat Apr 26 18:07:57 2025	1745708877	1	20	22	20
Sat Apr 26 18:07:57 2025	1745708877	1	20	22	20
Sat Apr 26 18:07:57 2025	1745708877	1	22	23	22
Sat Apr 26 18:07:57 2025	1745708877	1	22	23	22
Sat Apr 26 18:07:57 2025	1745708877	1	22	24	22
Sat Apr 26 18:07:57 2025	1745708877	1	22	24	22
Sat Apr 26 18:07:57 2025	1745708877	1	24	25	24
Sat Apr 26 18:07:57 2025	1745708877	1	24	26	24
Sat Apr 26 18:07:57 2025	1745708877	1	24	26	24
Sat Apr 26 18:07:57 2025	1745708877	1	24	26	24
Sat Apr 26 18:07:57 2025	1745708877	1	26	27	26
Sat Apr 26 18:07:57 2025	1745708877	1	26	28	26
Sat Apr 26 18:07:57 2025	1745708877	1	26	28	26
Sat Apr 26 18:07:57 2025	1745708877	1	27	28	26
Sat Apr 26 18:07:57 2025	1745708877	1	28	29	28
Sat Apr 26 18:07:57 2025	1745708877	1	28	30	28
Sat Apr 26 18:07:57 2025	1745708877	1	28	30	28
Sat Apr 26 18:07:57 2025	1745708877	1	29	30	29
Sat Apr 26 18:07:57 2025	1745708877	1	30	31	30
Sat Apr 26 18:07:57 2025	1745708877	1	30	32	30
Sat Apr 26 18:07:57 2025	1745708877	1	30	32	30
Sat Apr 26 18:07:57 2025	1745708877	1	31	32	31
Sat Apr 26 18:07:57 2025	1745708877	1	32	34	32
Sat Apr 26 18:07:57 2025	1745708877	1	32	34	32
Sat Apr 26 18:07:57 2025	1745708877	1	32	34	32
Sat Apr 26 18:07:57 2025	1745708877	1	33	34	33
Sat Apr 26 18:07:57 2025	1745708877	1	34	36	34
Sat Apr 26 18:07:57 2025	1745708877	1	34	36	34
Sat Apr 26 18:07:57 2025	1745708877	1	34	36	34
Sat Apr 26 18:07:57 2025	1745708877	1	35	36	35
Sat Apr 26 18:07:57 2025	1745708877	1	36	38	36
Sat Apr 26 18:07:57 2025	1745708877	1	36	38	36
Sat Apr 26 18:07:57 2025	1745708877	1	36	38	36
Sat Apr 26 18:07:57 2025	1745708877	1	37	39	37
Sat Apr 26 18:07:57 2025	1745708877	1	38	40	38
Sat Apr 26 18:07:57 2025	1745708877	1	38	40	38
Sat Apr 26 18:07:57 2025	1745708877	1	38	40	38
Sat Apr 26 18:07:57 2025	1745708877	1	39	41	39
Sat Apr 26 18:07:57 2025	1745708877	1	40	42	40
Sat Apr 26 18:07:57 2025	1745708877	1	40	42	40
Sat Apr 26 18:07:57 2025	1745708877	1	41	42	41
Sat Apr 26 18:07:57 2025	1745708877	1	41	43	41
Sat Apr 26 18:07:57 2025	1745708877	1	42	44	42
Sat Apr 26 18:07:57 2025	1745708877	1	42	44	42
Sat Apr 26 18:07:57 2025	1745708877	1	43	44	43
Sat Apr 26 18:07:57 2025	1745708877	1	43	45	43
Sat Apr 26 18:07:57 2025	1745708877	1	44	46	44
Sat Apr 26 18:07:57 2025	1745708877	1	44	46	44
Sat Apr 26 18:07:57 2025	1745708877	1	45	46	45
Sat Apr 26 18:07:57 2025	1745708877	1	45	47	45
Sat Apr 26 18:07:57 2025	1745708877	1	46	48	46
Sat Apr 26 18:07:57 2025	1745708877	1	46	48	46
Sat Apr 26 18:07:57 2025	1745708877	1	47	48	47
Sat Apr 26 18:07:57 2025	1745708877	1	48	49	48
Sat Apr 26 18:07:57 2025	1745708877	1	48	50	48
Sat Apr 26 18:07:57 2025	1745708877	1	49	50	49
Sat Apr 26 18:07:57 2025	1745708877	1	49	51	49
Sat Apr 26 18:08:02 2025	1745708882	0	51	51	51
Sat Apr 26 18:08:02 2025	1745708882	0	51	51	51
Sat Apr 26 18:07:58 2025	1745708878	0	51	51	51
Sat Apr 26 18:08:02 2025	1745708882	0	51	51	51
Sat Apr 26 18:07:58 2025	1745708878	0	51	51	51
Sat Apr 26 18:07:59 2025	1745708879	0	51	51	51
Sat Apr 26 18:07:58 2025	1745708878	0	51	51	51
Sat Apr 26 18:08:00 2025	1745708880	0	51	51	51
Sat Apr 26 18:07:58 2025	1745708878	0	51	51	51
Sat Apr 26 18:08:00 2025	1745708880	0	51	51	51
Sat Apr 26 18:08:00 2025	1745708880	0	51	51	51
Sat Apr 26 18:08:00 2025	1745708880	0	51	51	51
Sat Apr 26 18:08:00 2025	1745708880	0	51	51	51
Sat Apr 26 18:07:58 2025	1745708878	0	51	51	51
Sat Apr 26 18:07:59 2025	1745708879	0	51	51	51
Sat Apr 26 18:08:00 2025	1745708880	0	51	51	51
Sat Apr 26 18:07:58 2025	1745708878	0	51	51	51
Sat Apr 26 18:07:58 2025	1745708878	0	51	51	51
Sat Apr 26 18:08:00 2025	1745708880	0	51	51	51
Sat Apr 26 18:08:02 2025	1745708882	0	51	51	51
Sat Apr 26 18:08:02 2025	1745708882	0	51	51	51
Sat Apr 26 18:08:02 2025	1745708882	0	51	51	51
Sat Apr 26 18:08:00 2025	1745708880	0	51	51	51
Sat Apr 26 18:08:02 2025	1745708882	0	51	51	51
Sat Apr 26 18:07:57 2025	1745708877	0	51	51	51
Sat Apr 26 18:08:02 2025	1745708882	0	51	51	51
Sat Apr 26 18:08:01 2025	1745708881	0	51	51	51
Sat Apr 26 18:08:01 2025	1745708881	0	51	51	51
Sat Apr 26 18:07:57 2025	1745708877	0	51	51	51
Sat Apr 26 18:07:57 2025	1745708877	1	50	51	50
Sat Apr 26 18:07:57 2025	1745708877	0	51	51	51
Sat Apr 26 18:08:02 2025	1745708882	0	51	51	51
Sat Apr 26 18:08:02 2025	1745708882	0	51	51	51
Sat Apr 26 18:08:00 2025	1745708880	0	51	51	51
Sat Apr 26 18:08:02 2025	1745708882	0	51	51	51
Sat Apr 26 18:07:58 2025	1745708878	0	51	51	51
Sat Apr 26 18:08:02 2025	1745708882	0	51	51	51
Sat Apr 26 18:07:58 2025	1745708878	0	51	51	51
Sat Apr 26 18:07:58 2025	1745708878	0	51	51	51
Sat Apr 26 18:08:01 2025	1745708881	0	51	51	51
Sat Apr 26 18:08:01 2025	1745708881	0	51	51	51
Sat Apr 26 18:08:02 2025	1745708882	0	51	51	51
Sat Apr 26 18:08:02 2025	1745708882	0	51	51	51
Sat Apr 26 18:08:02 2025	1745708882	0	51	51	51
Sat Apr 26 18:08:01 2025	1745708881	0	51	51	51
Sat Apr 26 18:07:57 2025	1745708877	0	51	51	51
Sat Apr 26 18:07:59 2025	1745708879	0	51	51	51
Sat Apr 26 18:08:02 2025	1745708882	0	51	51	51
Sat Apr 26 18:07:57 2025	1745708877	0	51	51	51
Sat Apr 26 18:08:02 2025	1745708882	0	51	51	51
Sat Apr 26 18:08:01 2025	1745708881	0	51	51	51
Sat Apr 26 18:08:01 2025	1745708881	0	51	51	51
Sat Apr 26 18:07:59 2025	1745708879	0	51	51	51
Sat Apr 26 18:07:58 2025	1745708878	0	51	51	51
Sat Apr 26 18:07:57 2025	1745708877	0	51	51	51
Sat Apr 26 18:07:57 2025	1745708877	0	51	51	51
Sat Apr 26 18:07:59 2025	1745708879	0	51	52	51
Sat Apr 26 18:07:57 2025	1745708877	1	50	52	50
Sat Apr 26 18:07:59 2025	1745708879	0	51	52	51
Sat Apr 26 18:07:58 2025	1745708878	0	51	52	51
Sat Apr 26 18:08:01 2025	1745708881	0	51	52	51
Sat Apr 26 18:08:02 2025	1745708882	0	51	52	51
Sat Apr 26 18:07:57 2025	1745708877	0	51	52	51
Sat Apr 26 18:08:02 2025	1745708882	0	51	52	51
Sat Apr 26 18:07:59 2025	1745708879	0	52	52	51
Sat Apr 26 18:08:02 2025	1745708882	0	52	52	51
Sat Apr 26 18:08:00 2025	1745708880	0	52	52	51
Sat Apr 26 18:07:59 2025	1745708879	0	52	52	52
Sat Apr 26 18:07:58 2025	1745708878	0	52	52	52
Sat Apr 26 18:07:59 2025	1745708879	0	52	52	51
Sat Apr 26 18:07:58 2025	1745708878	0	52	52	52
Sat Apr 26 18:07:57 2025	1745708877	0	52	52	52
Sat Apr 26 18:08:00 2025	1745708880	0	52	52	52
Sat Apr 26 18:08:00 2025	1745708880	0	52	52	52
Sat Apr 26 18:07:57 2025	1745708877	0	52	52	52
Sat Apr 26 18:07:59 2025	1745708879	0	52	52	52
Sat Apr 26 18:07:57 2025	1745708877	0	52	52	52
Sat Apr 26 18:08:01 2025	1745708881	0	52	52	52
Sat Apr 26 18:07:57 2025	1745708877	0	52	52	52
Sat Apr 26 18:07:59 2025	1745708879	0	52	52	51
Sat Apr 26 18:08:02 2025	1745708882	0	52	52	52
Sat Apr 26 18:08:00 2025	1745708880	0	52	52	52
Sat Apr 26 18:08:00 2025	1745708880	0	52	52	52
Sat Apr 26 18:08:00 2025	1745708880	0	52	52	52
Sat Apr 26 18:07:58 2025	1745708878	0	52	52	52
Sat Apr 26 18:07:58 2025	1745708878	0	52	52	52
Sat Apr 26 18:08:00 2025	1745708880	0	52	52	52
Sat Apr 26 18:07:59 2025	1745708879	0	52	52	52
Sat Apr 26 18:08:01 2025	1745708881	0	52	52	52
Sat Apr 26 18:08:02 2025	1745708882	0	52	52	52
Sat Apr 26 18:07:58 2025	1745708878	0	52	52	52
Sat Apr 26 18:08:00 2025	1745708880	0	52	52	52
Sat Apr 26 18:08:01 2025	1745708881	0	52	52	52
Sat Apr 26 18:08:02 2025	1745708882	0	52	52	52
Sat Apr 26 18:07:57 2025	1745708877	0	52	52	52
Sat Apr 26 18:08:02 2025	1745708882	0	52	52	52
Sat Apr 26 18:07:59 2025	1745708879	0	52	52	52
Sat Apr 26 18:07:59 2025	1745708879	0	52	52	52
Sat Apr 26 18:07:57 2025	1745708877	0	52	52	52
