starttime	seconds	ctime	dtime	ttime	wait
Sat Apr 26 19:21:10 2025	1745713270	0	1	2	1
Sat Apr 26 19:21:10 2025	1745713270	0	1	2	1
Sat Apr 26 19:21:10 2025	1745713270	1	1	2	1
Sat Apr 26 19:21:10 2025	1745713270	1	1	2	1
Sat Apr 26 19:21:10 2025	1745713270	0	1	2	1
Sat Apr 26 19:21:10 2025	1745713270	1	1	2	1
Sat Apr 26 19:21:10 2025	1745713270	1	1	2	1
Sat Apr 26 19:21:10 2025	1745713270	1	1	2	1
Sat Apr 26 19:21:10 2025	1745713270	1	1	2	1
Sat Apr 26 19:21:10 2025	1745713270	1	1	2	1
Sat Apr 26 19:21:10 2025	1745713270	1	1	2	1
Sat Apr 26 19:21:10 2025	1745713270	1	1	2	1
Sat Apr 26 19:21:10 2025	1745713270	1	1	2	1
Sat Apr 26 19:21:10 2025	1745713270	1	1	2	1
Sat Apr 26 19:21:10 2025	1745713270	1	1	2	1
Sat Apr 26 19:21:10 2025	1745713270	1	1	2	1
Sat Apr 26 19:21:10 2025	1745713270	1	1	2	1
Sat Apr 26 19:21:10 2025	1745713270	1	1	2	1
Sat Apr 26 19:21:10 2025	1745713270	1	1	2	1
Sat Apr 26 19:21:10 2025	1745713270	1	1	2	1
Sat Apr 26 19:21:10 2025	1745713270	1	1	2	1
Sat Apr 26 19:21:10 2025	1745713270	1	1	2	1
Sat Apr 26 19:21:10 2025	1745713270	1	1	2	1
Sat Apr 26 19:21:10 2025	1745713270	1	1	2	1
Sat Apr 26 19:21:10 2025	1745713270	1	1	2	1
Sat Apr 26 19:21:10 2025	1745713270	1	1	2	1
Sat Apr 26 19:21:10 2025	1745713270	1	1	2	1
Sat Apr 26 19:21:10 2025	1745713270	1	1	2	1
Sat Apr 26 19:21:10 2025	1745713270	1	1	2	1
Sat Apr 26 19:21:10 2025	1745713270	1	1	2	1
Sat Apr 26 19:21:10 2025	1745713270	1	1	2	1
Sat Apr 26 19:21:10 2025	1745713270	1	1	2	1
Sat Apr 26 19:21:10 2025	1745713270	1	1	2	1
Sat Apr 26 19:21:10 2025	1745713270	1	1	2	1
Sat Apr 26 19:21:10 2025	1745713270	1	1	2	1
Sat Apr 26 19:21:10 2025	1745713270	1	1	2	1
Sat Apr 26 19:21:10 2025	1745713270	1	1	2	1
Sat Apr 26 19:21:10 2025	1745713270	1	1	2	1
Sat Apr 26 19:21:10 2025	1745713270	1	1	2	1
Sat Apr 26 19:21:10 2025	1745713270	1	1	2	1
Sat Apr 26 19:21:10 2025	1745713270	1	1	2	1
Sat Apr 26 19:21:10 2025	1745713270	1	1	2	1
Sat Apr 26 19:21:10 2025	1745713270	1	1	2	1
Sat Apr 26 19:21:10 2025	1745713270	1	1	2	1
Sat Apr 26 19:21:10 2025	1745713270	1	1	2	1
Sat Apr 26 19:21:10 2025	1745713270	1	1	2	1
Sat Apr 26 19:21:10 2025	1745713270	1	1	2	1
Sat Apr 26 19:21:10 2025	1745713270	1	1	2	1
Sat Apr 26 19:21:10 2025	1745713270	1	1	2	1
Sat Apr 26 19:21:10 2025	1745713270	1	1	2	1
Sat Apr 26 19:21:10 2025	1745713270	1	1	2	1
Sat Apr 26 19:21:10 2025	1745713270	1	1	2	1
Sat Apr 26 19:21:10 2025	1745713270	1	1	2	1
Sat Apr 26 19:21:10 2025	1745713270	1	1	2	1
Sat Apr 26 19:21:10 2025	1745713270	1	1	2	1
Sat Apr 26 19:21:10 2025	1745713270	1	1	2	1
Sat Apr 26 19:21:10 2025	1745713270	1	1	2	1
Sat Apr 26 19:21:10 2025	1745713270	1	1	2	1
Sat Apr 26 19:21:10 2025	1745713270	1	1	2	1
Sat Apr 26 19:21:10 2025	1745713270	1	1	2	1
Sat Apr 26 19:21:10 2025	1745713270	1	1	2	1
Sat Apr 26 19:21:10 2025	1745713270	1	1	2	1
Sat Apr 26 19:21:10 2025	1745713270	1	1	2	1
